Sequence name,Lineage,Probability,Most common countries,Number of taxa,Date range,Days since last sampling
USA/NY-NYUMC32/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC320/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",30
USA/NY-NYUMC321/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",30
USA/NY-NYUMC322/2020,B.1.26,1.0,"USA, New_Zealand, India",106,"March-17, July-26",55
USA/NY-NYUMC323/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC324/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC325/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC326/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC327/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC328/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC33/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC330/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC331/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC332/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC333/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC334/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC335/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC336/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC337/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC338/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
